"Animal","Peso","Salinidad","Temperatura"
"1",4.2,"Agua de mar","25"
"2",11.5,"Agua de mar","25"
"3",7.3,"Agua de mar","25"
"4",5.8,"Agua de mar","25"
"5",6.4,"Agua de mar","25"
"6",10,"Agua de mar","25"
"7",11.2,"Agua de mar","25"
"8",11.2,"Agua de mar","25"
"9",5.2,"Agua de mar","25"
"10",7,"Agua de mar","25"
"11",16.5,"Agua de mar","30"
"12",16.5,"Agua de mar","30"
"13",15.2,"Agua de mar","30"
"14",17.3,"Agua de mar","30"
"15",22.5,"Agua de mar","30"
"16",17.3,"Agua de mar","30"
"17",13.6,"Agua de mar","30"
"18",14.5,"Agua de mar","30"
"19",18.8,"Agua de mar","30"
"20",15.5,"Agua de mar","30"
"21",23.6,"Agua de mar","35"
"22",18.5,"Agua de mar","35"
"23",33.9,"Agua de mar","35"
"24",25.5,"Agua de mar","35"
"25",26.4,"Agua de mar","35"
"26",32.5,"Agua de mar","35"
"27",26.7,"Agua de mar","35"
"28",21.5,"Agua de mar","35"
"29",23.3,"Agua de mar","35"
"30",29.5,"Agua de mar","35"
"31",15.2,"Agua dulce","25"
"32",21.5,"Agua dulce","25"
"33",17.6,"Agua dulce","25"
"34",9.7,"Agua dulce","25"
"35",14.5,"Agua dulce","25"
"36",10,"Agua dulce","25"
"37",8.2,"Agua dulce","25"
"38",9.4,"Agua dulce","25"
"39",16.5,"Agua dulce","25"
"40",9.7,"Agua dulce","25"
"41",19.7,"Agua dulce","30"
"42",23.3,"Agua dulce","30"
"43",23.6,"Agua dulce","30"
"44",26.4,"Agua dulce","30"
"45",20,"Agua dulce","30"
"46",25.2,"Agua dulce","30"
"47",25.8,"Agua dulce","30"
"48",21.2,"Agua dulce","30"
"49",14.5,"Agua dulce","30"
"50",27.3,"Agua dulce","30"
"51",25.5,"Agua dulce","35"
"52",26.4,"Agua dulce","35"
"53",22.4,"Agua dulce","35"
"54",24.5,"Agua dulce","35"
"55",24.8,"Agua dulce","35"
"56",30.9,"Agua dulce","35"
"57",26.4,"Agua dulce","35"
"58",27.3,"Agua dulce","35"
"59",29.4,"Agua dulce","35"
"60",23,"Agua dulce","35"
